team,avg_atk_far,avg_def_far,total_team_far
Argentina,0.07052293052141671,0.01465857360551953,14.324782741264254
Australia,0.07113578143841129,0.021063056187631584,6.89258411199738
Belgium,0.017464314142057253,0.014764997732199001,2.7405986009437786
Brazil,0.10570049055056517,0.02582493960794349,14.331372960348212
Cameroon,0.12457253804465568,0.022733564157823048,7.250346998995688
Canada,0.015550557423724763,0.02146176018700609,2.254987963771912
Costa Rica,0.0452144700581755,0.06182857540754539,5.775855047347571
Croatia,0.10349415964755715,0.019141573853855953,13.319275315338604
Denmark,0.06066352693650571,0.025890980391346415,5.19787335725821
Ecuador,0.0614192277326115,0.030886541691812333,5.05347995233975
England,0.19461161160005913,-0.00099778568885983,12.186538906132785
France,0.09384664859654464,0.014713172721098807,17.46092844349613
Germany,0.1651895356384107,0.02243481131086387,8.990603420939056
Ghana,0.0998794330497346,0.009589106698623765,5.829692034787552
Iran,0.09986094247802058,0.03258948370097915,6.875359022304574
Japan,0.11156026422644673,0.01910517352759454,7.5791642236621595
Mexico,0.04314449737689329,0.013908320915388786,5.033350076340284
Morocco,0.0640471461466185,0.028374646633062647,14.166069780158828
Netherlands,0.12300112908177008,0.01595421423701082,12.442197318284299
Poland,0.027094738700559923,0.024299114231088628,4.256195772147395
Portugal,0.15712347657372858,-0.001169956931252164,11.221369046798127
Qatar,0.07157411764094783,0.02593637585301072,3.4162649542133465
Saudi Arabia,0.06609362780498343,0.03661882335023816,4.9794213398644676
Senegal,0.10786171698360877,0.013750302095566037,7.586568112094124
Serbia,0.13126259470943064,0.013768977828219254,7.701249103691888
South Korea,0.05065483756880861,0.021791440866867292,6.487980399175697
Spain,0.12828869352044286,0.01436206935872624,10.25620577125353
Switzerland,0.06347217412249156,0.028194138046823598,7.848439086898658
Tunisia,0.06382528661570552,0.018140701588960258,4.216247234999237
United States,0.08362238046723545,0.034347700969235284,6.762591440909286
Uruguay,0.06286362689155219,0.022974209329995873,4.4838748670932205
Wales,0.028759399461584276,0.04408888010760111,3.184521557735973
